Account_ID,Account_Name,Current_Rep,ARR,Location,Num_Employees,Num_Marketers,Risk_Score
ACC-2001,Acme Corp,Alice Johnson,350000,CA,250000,5000,15
ACC-2002,Beta Industries,Bob Smith,480000,NY,180000,3600,42
ACC-2003,Gamma Tech,Carol Lee,125000,TX,45000,900,78
ACC-2004,Delta Health,Dave Kim,275000,GA,310000,6200,22
ACC-2005,Epsilon AI,Eve Patel,620000,IL,520000,10400,8
ACC-2006,Zeta Finance,Frank Lopez,198000,OH,72000,1440,65
ACC-2007,Eta Logistics,Alice Johnson,410000,CA,140000,2800,31
ACC-2008,Theta Motors,Bob Smith,315000,NY,200000,4000,55
ACC-2009,Iota Pharma,Carol Lee,540000,TX,95000,1900,19
ACC-2010,Kappa Retail,Dave Kim,88000,GA,28000,560,83
ACC-2011,Lambda Cloud,Eve Patel,725000,IL,400000,8000,12
ACC-2012,Mu Energy,Frank Lopez,165000,OH,60000,1200,71
ACC-2013,Nu Telecom,Alice Johnson,290000,FL,175000,3500,38
ACC-2014,Xi Aerospace,Bob Smith,580000,WA,330000,6600,25
ACC-2015,Omicron Foods,Carol Lee,210000,TX,110000,2200,47
ACC-2016,Pi Software,Dave Kim,445000,GA,85000,1700,60
ACC-2017,Rho Biotech,Eve Patel,380000,MA,220000,4400,34
ACC-2018,Sigma Media,Frank Lopez,155000,OH,42000,840,88
ACC-2019,Tau Defense,Alice Johnson,670000,CA,500000,10000,5
ACC-2020,Upsilon Bank,Bob Smith,430000,NY,290000,5800,29
ACC-2021,Phi Chemical,Carol Lee,95000,TX,15000,300,92
ACC-2022,Chi Transport,Dave Kim,360000,GA,195000,3900,41
ACC-2023,Psi Robotics,Eve Patel,510000,IL,350000,7000,17
ACC-2024,Omega Insurance,Frank Lopez,240000,PA,130000,2600,53
ACC-2025,Alpha Dynamics,Alice Johnson,395000,CA,260000,5200,36
ACC-2026,Bravo Consulting,Bob Smith,185000,NY,55000,1100,67
ACC-2027,Charlie Mfg,Carol Lee,300000,TX,150000,3000,44
ACC-2028,Foxtrot Labs,Dave Kim,520000,MI,410000,8200,10
ACC-2029,Golf Wireless,Eve Patel,275000,IL,160000,3200,58
ACC-2030,Hotel Pharma,Frank Lopez,690000,OH,280000,5600,21
